08:31:48 During your absence you trained for 12 hours.
08:31:48 Your Distance Fighting skill changed from level 133 and 5.42% to 5.72%.
08:31:48 Your Shielding skill changed from level 113 and 16.59% to 17.35%.
08:31:48 Your last visit in Tibia: 03. Jun 2026 22:37:41 CEST.
08:31:48 Today's boosted creature: Rotworm
08:31:48 Today's boosted boss: Mitmah Vanguard
08:31:48 Due to your long-term loyalty to Tibia, you currently benefit from a 30% bonus on all of your skills.
08:31:54 Poachers have slaughtered nearly all wild animals north of the Green Claw Swamp. But vengeful spirits show up there now!
08:31:54 A sandstorm travels through Darama, leading to isles full of deadly creatures inside a nightmare. Avoid the northernmost coast!
08:31:54 Nomads travel the eternal sands of Ankrahmun's desert. There must be a camp somewhere.
08:31:54 The river south of the outlaw camp is flooding. A small island there should now be reachable safely.
08:31:54 Bibby Bloodbath and her crew are roaming the lands, destroying everything in their path.
08:31:54 Adventurers have told of a Spirit Gate in the Daramian mountains. Fight the restless undead!
08:34:14 Bought 1201x great mana potion for 189758 gold.
08:34:22 Bought 1001x spectral bolt for 70070 gold.
08:36:29 Using one of 1521 great mana potions...
08:36:29 Using one of 1520 great mana potions...
08:36:30 Using one of 1520 great mana potions...
08:36:30 Using one of 1520 great mana potions...
08:36:30 Using one of 1520 great mana potions...
08:36:30 Using one of 1519 great mana potions...
08:36:31 Using one of 1519 great mana potions...
08:36:31 Using one of 1519 great mana potions...
08:36:31 Using one of 1519 great mana potions...
08:36:31 Using one of 1518 great mana potions...
08:36:32 Using one of 1518 great mana potions...
08:36:32 Using one of 1518 great mana potions...
08:36:32 Using one of 1518 great mana potions...
08:36:32 Using one of 1517 great mana potions...
08:36:33 Using one of 1517 great mana potions...
08:36:37 Using one of 1516 great mana potions...
08:36:37 Using one of 1515 great mana potions...
08:36:38 Using one of 1515 great mana potions...
08:36:39 Using one of 1514 great mana potions...
08:36:39 Using one of 1513 great mana potions...
08:36:40 Using one of 1513 great mana potions...
08:36:46 Using the last rope...
08:36:49 Using the last rope...
08:37:01 Using one of 1512 great mana potions...
08:37:01 Using one of 1511 great mana potions...
08:37:02 Using one of 1511 great mana potions...
08:37:02 Using one of 1510 great mana potions...
08:37:03 Using one of 1510 great mana potions...
08:37:03 Using one of 1509 great mana potions...
08:37:04 Using one of 1508 great mana potions...
08:37:05 Using one of 1508 great mana potions...
08:37:05 Using one of 1507 great mana potions...
08:37:05 Using one of 1507 great mana potions...
08:37:06 Using one of 1507 great mana potions...
08:37:06 Using one of 1506 great mana potions...
08:37:06 Using one of 1506 great mana potions...
08:37:07 Using one of 1506 great mana potions...
08:37:07 Using one of 1506 great mana potions...
08:37:07 Using one of 1505 great mana potions...
08:37:07 Using one of 1505 great mana potions...
08:37:08 Using one of 1505 great mana potions...
08:37:08 Using one of 1504 great mana potions...
08:37:13 Using the last squeezing gear of girlpower...
08:37:13 Using one of 1503 great mana potions...
08:37:14 Using one of 1502 great mana potions...
08:37:15 Using one of 1501 great mana potions...
08:37:15 Using one of 1501 great mana potions...
08:37:15 Using one of 1501 great mana potions...
08:37:16 Using one of 1500 great mana potions...
08:37:16 Using one of 1500 great mana potions...
08:37:16 Using one of 1500 great mana potions...
08:37:17 Using one of 1499 great mana potions...
08:37:17 Using one of 1499 great mana potions...
08:37:17 Using one of 1499 great mana potions...
08:37:18 Using one of 1499 great mana potions...
08:37:18 Using one of 1498 great mana potions...
08:37:18 Using one of 1498 great mana potions...
08:37:19 Using one of 1498 great mana potions...
08:37:19 Using one of 1497 great mana potions...
08:37:20 Using one of 1497 great mana potions...
08:37:21 Using one of 1496 great mana potions...
08:37:21 Using one of 1496 great mana potions...
08:37:21 Using one of 1495 great mana potions...
08:37:22 Using one of 1495 great mana potions...
08:37:22 Using one of 1495 great mana potions...
08:37:22 Using one of 1494 great mana potions...
08:37:23 Using one of 1494 great mana potions...
08:37:23 Using one of 1494 great mana potions...
08:37:23 Using one of 1493 great mana potions...
08:37:23 Using one of 1493 great mana potions...
08:37:24 Using one of 1493 great mana potions...
08:37:24 Using one of 1492 great mana potions...
08:37:25 Using one of 1492 great mana potions...
08:37:26 Switched to hotkey preset 'USP SP'.
08:37:26 Switched to hotkey preset 'full ultimate'.
08:37:27 Switched to hotkey preset 'Drome'.
08:37:27 Switched to hotkey preset 'Royal'Drone'.
08:37:27 Switched to hotkey preset 'USP NO SCROLL'.
08:37:28 Using one of 1491 great mana potions...
08:37:31 Using one of 1490 great mana potions...
08:37:33 You begin to feel the dark power of the rot.
08:37:34 Using one of 1489 great mana potions...
08:37:35 Using one of 1488 great mana potions...
08:37:36 Using one of 1487 great mana potions...
08:37:39 Using one of 1486 great mana potions...
08:37:40 Using one of 1485 great mana potions...
08:37:41 Using one of 1484 great mana potions...
08:38:16 Momentum was triggered.
08:42:34 Womolu invites you to his party.
08:46:44 You have joined Womolu's party. Open the party channel to communicate with your companions.
08:46:50 Using one of 1483 great mana potions...
08:46:51 Using one of 1482 great mana potions...
08:46:51 Using one of 1482 great mana potions...
08:46:52 Using one of 1481 great mana potions...
08:46:52 Using one of 1481 great mana potions...
08:47:30 Izeekao has joined the party.
08:47:48 Luszckyn has joined the party.
08:48:46 Burkzin has joined the party.
08:48:59 Using one of 1480 great mana potions...
08:48:59 You gained 193 mana.
08:48:59 Using one of 1479 great mana potions...
08:49:00 Using one of 1479 great mana potions...
08:49:00 You gained 234 mana.
08:49:00 Using one of 1478 great mana potions...
08:49:01 Using one of 1478 great mana potions...
08:49:01 You gained 151 mana.
08:49:01 Using one of 1477 great mana potions...
08:49:02 You gained 163 mana.
08:49:05 Using one of 1476 great mana potions...
08:49:05 You gained 195 mana.
08:49:05 Using one of 1475 great mana potions...
08:49:05 You were healed by Luszckyn for 1936 hitpoints.
08:49:06 Using one of 1475 great mana potions...
08:49:06 You gained 157 mana.
08:49:06 You were healed by Luszckyn for 1697 hitpoints.
08:49:15 Using one of 1474 great mana potions...
08:49:15 You gained 164 mana.
08:49:20 Using one of 1473 great mana potions...
08:49:20 You gained 250 mana.
08:49:21 Using one of 1472 great mana potions...
08:49:21 You lose 815 hitpoints due to an attack by an oozing corpus. 
08:49:23 You healed yourself for 815 hitpoints.
08:49:24 Using one of 1472 great mana potions...
08:49:24 You gained 203 mana.
08:49:25 Using one of 1471 great mana potions...
08:49:25 You gained 205 mana.
08:49:26 Using one of 1470 great mana potions...
08:49:26 You lose 958 hitpoints due to an attack by a sopping corpus. 
08:49:26 You gained 192 mana.
08:49:26 You healed yourself for 958 hitpoints.
08:49:26 You lose 1041 hitpoints due to an attack by a bloated man-maggot. 
08:49:27 You lose 833 hitpoints due to an attack by an oozing corpus. 
08:49:27 You healed yourself for 1172 hitpoints.
08:49:28 Using one of 1469 great mana potions...
08:49:28 You gained 167 mana.
08:49:28 You healed yourself for 696 hitpoints.
08:49:29 Using one of 1468 great mana potions...
08:49:29 You gained 151 mana.
08:49:29 You lose 737 hitpoints due to an attack by an oozing corpus. 
08:49:30 You healed yourself for 737 hitpoints.
08:49:30 Using one of 1467 great mana potions...
08:49:31 You gained 211 mana.
08:49:31 You lose 723 hitpoints due to an attack by a mycobiontic beetle. 
08:49:31 Using one of 1466 great mana potions...
08:49:32 You gained 218 mana.
08:49:32 Momentum was triggered.
08:49:32 Using one of 1465 great mana potions...
08:49:34 You healed yourself for 717 hitpoints.
08:49:34 Using one of 1465 great mana potions...
08:49:34 You gained 204 mana.
08:49:35 Using one of 1464 great mana potions...
08:49:35 You lose 736 hitpoints due to an attack by an oozing corpus. 
08:49:35 You gained 190 mana.
08:49:35 Using one of 1463 great mana potions...
08:49:36 Using one of 1463 great mana potions...
08:49:36 Using one of 1463 great mana potions...
08:49:36 You lose 839 hitpoints due to an attack by an oozing corpus. 
08:49:36 You lose 308 hitpoints due to an attack by an oozing corpus. 
08:49:36 You gained 176 mana.
08:49:36 Using one of 1462 great mana potions...
08:49:37 Using one of 1462 great mana potions...
08:49:37 Using one of 1462 great mana potions...
08:49:37 Using one of 1462 great mana potions...
08:49:37 You gained 231 mana.
08:49:38 You healed yourself for 1199 hitpoints.
08:49:38 Using one of 1461 great mana potions...
08:49:38 You lose 924 hitpoints due to an attack by a sopping corpus. 
08:49:38 You gained 240 mana.
08:49:39 You healed yourself for 1255 hitpoints.
08:49:40 Using one of 1460 great mana potions...
08:49:40 You gained 200 mana.
08:49:40 You healed yourself for 341 hitpoints.
08:49:41 You lose 708 hitpoints due to an attack by an oozing corpus. 
08:49:41 Using one of 1459 great mana potions...
08:49:41 You gained 197 mana.
08:49:41 You lose 758 hitpoints due to an attack by a mycobiontic beetle. 
08:49:41 You lose 457 hitpoints due to an attack by an oozing corpus. 
08:49:41 You healed yourself for 1224 hitpoints.
08:49:42 Using one of 1458 great mana potions...
08:49:42 You lose 983 hitpoints due to an attack by a bloated man-maggot. 
08:49:42 You gained 241 mana.
08:49:42 You lose 734 hitpoints due to an attack by an oozing corpus. 
08:49:42 You lose 377 hitpoints due to an attack by an oozing corpus. 
08:49:42 You healed yourself for 1068 hitpoints.
08:49:43 Using one of 1457 great mana potions...
08:49:43 You healed yourself for 1336 hitpoints.
08:49:44 Using one of 190 magic wall runes...
08:49:45 You healed yourself for 383 hitpoints.
08:49:45 You already exhausted this reservoir.
08:49:46 Momentum was triggered.
08:49:46 Using one of 1457 great mana potions...
08:49:46 You gained 244 mana.
08:49:47 Using one of 1456 great mana potions...
08:49:47 You gained 188 mana.
08:49:48 You lose 933 hitpoints due to an attack by a sopping corpus. 
08:49:48 You healed yourself for 933 hitpoints.
08:49:49 Using one of 1455 great mana potions...
08:49:49 You gained 226 mana.
08:49:49 You lose 938 hitpoints due to an attack by a bloated man-maggot. 
08:49:50 You lose 946 hitpoints due to an attack by a bloated man-maggot. 
08:49:50 You healed yourself for 1323 hitpoints.
08:49:50 Using one of 1454 great mana potions...
08:49:50 You gained 219 mana.
08:49:50 You lose 907 hitpoints due to an attack by a bloated man-maggot. 
08:49:50 You lose 932 hitpoints due to an attack by a bloated man-maggot. 
08:49:50 You lose 841 hitpoints due to an attack by a bloated man-maggot. 
08:49:51 You lose 597 hitpoints due to an attack by a bloated man-maggot. 
08:49:51 You lose 478 hitpoints due to an attack by an oozing corpus. 
08:49:51 You lose 246 hitpoints due to an attack by a bloated man-maggot. 
08:49:51 You healed yourself for 1060 hitpoints.
08:49:51 Using one of 1453 great mana potions...
08:49:51 You gained 182 mana.
08:49:52 You healed yourself for 1444 hitpoints.
08:49:52 Using one of 1452 great mana potions...
08:49:52 You gained 234 mana.
08:49:53 You healed yourself for 1266 hitpoints.
08:49:53 You lose 699 hitpoints due to an attack by an oozing corpus. 
08:49:53 You lose 362 hitpoints due to an attack by an oozing corpus. 
08:49:53 You lose 673 hitpoints due to an attack by an oozing corpus. 
08:49:53 Using one of 1451 great mana potions...
08:49:54 You gained 241 mana.
08:49:54 You lose 769 hitpoints due to an attack by an oozing corpus. 
08:49:54 You healed yourself for 1077 hitpoints.
08:49:55 Using one of 1450 great mana potions...
08:49:55 You gained 221 mana.
08:49:55 You lose 1005 hitpoints due to an attack by a bloated man-maggot. 
08:49:55 You lose 575 hitpoints due to an attack by a bloated man-maggot. 
08:49:55 You lose 455 hitpoints due to an attack by an oozing corpus. 
08:49:55 You lose 712 hitpoints due to an attack by an oozing corpus. 
08:49:55 You lose 712 hitpoints due to an attack by an oozing corpus. 
08:49:55 You healed yourself for 1419 hitpoints.
08:49:56 Using one of 1449 great mana potions...
08:49:56 You gained 193 mana.
08:49:57 You healed yourself for 1032 hitpoints.
08:49:57 You lose 917 hitpoints due to an attack by a bloated man-maggot. 
08:49:57 Using one of 1448 great mana potions...
08:49:57 You gained 225 mana.
08:49:57 You lose 878 hitpoints due to an attack by a bloated man-maggot. 
08:49:57 You lose 788 hitpoints due to an attack by an oozing corpus. 
08:49:58 You lose 665 hitpoints due to an attack by a mycobiontic beetle. 
08:49:58 You healed yourself for 1136 hitpoints.
08:49:58 Using one of 1447 great mana potions...
08:49:58 You gained 175 mana.
08:49:59 You healed yourself for 1394 hitpoints.
08:50:00 Using one of 1446 great mana potions...
08:50:00 You gained 209 mana.
08:50:00 Using one of 1445 great mana potions...
08:50:01 You gained 207 mana.
08:50:01 You lose 983 hitpoints due to an attack by a sopping corpus. 
08:50:01 You lose 641 hitpoints due to an attack by a sopping corpus. 
08:50:01 Using one of 1444 great mana potions...
08:50:02 You gained 205 mana.
08:50:02 You lose 491 hitpoints due to an attack by an oozing corpus. 
08:50:02 You lose 747 hitpoints due to an attack by an oozing corpus. 
08:50:02 You healed yourself for 1185 hitpoints.
08:50:02 Using one of 1443 great mana potions...
08:50:03 You lose 436 hitpoints due to an attack by a bloated man-maggot. 
08:50:03 You gained 240 mana.
08:50:03 You healed yourself for 1234 hitpoints.
08:50:05 You healed yourself for 1004 hitpoints.
08:50:05 Using one of 1442 great mana potions...
08:50:06 You gained 223 mana.
08:50:06 You healed yourself for 1038 hitpoints.
08:50:06 You lose 861 hitpoints due to an attack by an oozing corpus. 
08:50:07 Using one of 1441 great mana potions...
08:50:07 You gained 243 mana.
08:50:07 You lose 257 hitpoints due to an attack by a sopping corpus. 
08:50:07 You healed yourself for 1077 hitpoints.
08:50:08 Using one of 1440 great mana potions...
08:50:08 You gained 180 mana.
08:50:08 You lose 835 hitpoints due to an attack by a bloated man-maggot. 
08:50:09 Using one of 1439 great mana potions...
08:50:09 You gained 221 mana.
08:50:09 You lose 683 hitpoints due to an attack by a mycobiontic beetle. 
08:50:10 You lose 942 hitpoints due to an attack by a sopping corpus. 
08:50:10 You were healed by Luszckyn for 1461 hitpoints.
08:50:11 Using one of 1438 great mana potions...
08:50:11 You gained 214 mana.
08:50:11 You lose 484 hitpoints due to an attack by an oozing corpus. 
08:50:11 You lose 835 hitpoints due to an attack by an oozing corpus. 
08:50:11 You lose 428 hitpoints due to an attack by a mycobiontic beetle. 
08:50:11 You lose 742 hitpoints due to an attack by a mycobiontic beetle. 
08:50:11 You were healed by Luszckyn for 1662 hitpoints.
08:50:12 You healed yourself for 1014 hitpoints.
08:50:12 Using one of 1437 great mana potions...
08:50:12 You lose 454 hitpoints due to an attack by an oozing corpus. 
08:50:12 You gained 217 mana.
08:50:12 You were healed by Luszckyn for 1873 hitpoints.
08:50:13 You healed yourself for 1342 hitpoints.
08:50:13 Using one of 1436 great mana potions...
08:50:14 You were healed by Luszckyn for 837 hitpoints.
08:50:14 You gained 189 mana.
08:50:14 You lose 612 hitpoints due to an attack by a mycobiontic beetle. 
08:50:14 You lose 736 hitpoints due to an attack by a mycobiontic beetle. 
08:50:14 You healed yourself for 1212 hitpoints.
08:50:15 Using one of 1435 great mana potions...
08:50:15 You were healed by Luszckyn for 136 hitpoints.
08:50:15 You gained 170 mana.
08:50:16 Using one of 1434 great mana potions...
08:50:16 You gained 154 mana.
08:50:16 You lose 999 hitpoints due to an attack by a bloated man-maggot. 
08:50:16 You lose 853 hitpoints due to an attack by a bloated man-maggot. 
08:50:16 You lose 243 hitpoints due to an attack by a bloated man-maggot. 
08:50:17 You lose 801 hitpoints due to an attack by a sopping corpus. 
08:50:17 You lose 733 hitpoints due to an attack by a mycobiontic beetle. 
08:50:18 You healed yourself for 1243 hitpoints.
08:50:19 You lose 631 hitpoints due to an attack by a mycobiontic beetle. 
08:50:19 You healed yourself for 1112 hitpoints.
08:50:19 You lose 924 hitpoints due to an attack by a bloated man-maggot. 
08:50:19 You lose 477 hitpoints due to an attack by a bloated man-maggot. 
08:50:20 You healed yourself for 1012 hitpoints.
08:50:20 You lose 791 hitpoints due to an attack by an oozing corpus. 
08:50:21 You lose 335 hitpoints due to an attack by a bloated man-maggot. 
08:50:21 You lose 933 hitpoints due to an attack by a bloated man-maggot. 
08:50:22 You healed yourself for 1137 hitpoints.
08:50:22 You lose 484 hitpoints due to an attack by an oozing corpus. 
08:50:23 You healed yourself for 1185 hitpoints.
08:50:23 You lose 956 hitpoints due to an attack by a sopping corpus. 
08:50:23 You lose 868 hitpoints due to an attack by a sopping corpus. 
08:50:23 You lose 768 hitpoints due to an attack by a sopping corpus. 
08:50:23 You lose 452 hitpoints due to an attack by a sopping corpus. 
08:50:23 You lose 720 hitpoints due to an attack by a mycobiontic beetle. 
08:50:23 You lose 693 hitpoints due to an attack by a mycobiontic beetle. 
08:50:23 Using one of 1433 great mana potions...
08:50:23 You gained 179 mana.
08:50:24 You lose 452 hitpoints due to an attack by a sopping corpus. 
08:50:24 You healed yourself for 1261 hitpoints.
08:50:24 You lose 819 hitpoints due to an attack by an oozing corpus. 
08:50:24 You lose 740 hitpoints due to an attack by a mycobiontic beetle. 
08:50:24 You lose 613 hitpoints due to an attack by a mycobiontic beetle. 
08:50:24 Using one of 1432 great mana potions...
08:50:24 You gained 246 mana.
08:50:24 You lose 231 hitpoints due to an attack by a bloated man-maggot. 
08:50:24 You lose 1094 hitpoints due to an attack by a bloated man-maggot. 
08:50:24 You lose 384 hitpoints due to an attack by an oozing corpus. 
08:50:25 You healed yourself for 1030 hitpoints.
08:50:25 You lose 362 hitpoints due to an attack by a mycobiontic beetle. 
08:50:25 Using one of 1431 great mana potions...
08:50:25 You gained 250 mana.
08:50:25 You lose 733 hitpoints due to an attack by a mycobiontic beetle. 
08:50:26 You healed yourself for 1056 hitpoints.
08:50:26 Using one of 1430 great mana potions...
08:50:26 You gained 174 mana.
08:50:27 You lose 710 hitpoints due to an attack by an oozing corpus. 
08:50:27 You healed yourself for 1066 hitpoints.
08:50:27 You lose 698 hitpoints due to an attack by an oozing corpus. 
08:50:27 Using one of 1429 great mana potions...
08:50:27 You gained 159 mana.
08:50:28 You healed yourself for 1364 hitpoints.
08:50:29 You were healed by Luszckyn for 1553 hitpoints.
08:50:29 You healed yourself for 1362 hitpoints.
08:50:30 You lose 731 hitpoints due to an attack by a mycobiontic beetle. 
08:50:30 Using one of 1428 great mana potions...
08:50:30 You gained 202 mana.
08:50:30 You lose 608 hitpoints due to an attack by an oozing corpus. 
08:50:30 You lose 840 hitpoints due to an attack by an oozing corpus. 
08:50:31 You healed yourself for 1138 hitpoints.
08:50:31 You lose 770 hitpoints due to an attack by a mycobiontic beetle. 
08:50:31 You lose 683 hitpoints due to an attack by a mycobiontic beetle. 
08:50:31 You lose 741 hitpoints due to an attack by an oozing corpus. 
08:50:31 You lose 330 hitpoints due to an attack by an oozing corpus. 
08:50:31 You lose 606 hitpoints due to an attack by a mycobiontic beetle. 
08:50:31 Using one of 1427 great mana potions...
08:50:31 You gained 244 mana.
08:50:32 You healed yourself for 1112 hitpoints.
08:50:32 Using one of 1426 great mana potions...
08:50:32 You gained 237 mana.
08:50:32 You lose 237 hitpoints due to an attack by a bloated man-maggot. 
08:50:33 You lose 1024 hitpoints due to an attack by a sopping corpus. 
08:50:33 You lose 673 hitpoints due to an attack by an oozing corpus. 
08:50:33 You healed yourself for 1437 hitpoints.
08:50:33 Using one of 1425 great mana potions...
08:50:33 You lose 426 hitpoints due to an attack by a bloated man-maggot. 
08:50:33 You gained 242 mana.
08:50:33 You lose 775 hitpoints due to an attack by an oozing corpus. 
08:50:34 You healed yourself for 1305 hitpoints.
08:50:34 You lose 832 hitpoints due to an attack by a bloated man-maggot. 
08:50:34 Using one of 1424 great mana potions...
08:50:34 You gained 183 mana.
08:50:34 You were healed by Luszckyn for 2048 hitpoints.
08:50:35 You healed yourself for 1401 hitpoints.
08:50:35 You were healed by Luszckyn for 1742 hitpoints.
08:50:35 Using one of 1423 great mana potions...
08:50:35 You gained 174 mana.
08:50:36 You healed yourself for 1375 hitpoints.
08:50:36 You were healed by Luszckyn for 2236 hitpoints.
08:50:36 You lose 536 hitpoints due to an attack by an oozing corpus. 
08:50:37 You lose 855 hitpoints due to an attack by a bloated man-maggot. 
08:50:37 You lose 763 hitpoints due to an attack by an oozing corpus. 
08:50:37 You lose 816 hitpoints due to an attack by a mycobiontic beetle. 
08:50:37 You healed yourself for 1183 hitpoints.
08:50:37 You lose 904 hitpoints due to an attack by a sopping corpus. 
08:50:37 You lose 900 hitpoints due to an attack by a sopping corpus. 
08:50:37 You lose 710 hitpoints due to an attack by a mycobiontic beetle. 
08:50:38 You lose 828 hitpoints due to an attack by an oozing corpus. 
08:50:38 You lose 515 hitpoints due to an attack by an oozing corpus. 
08:50:38 You lose 837 hitpoints due to an attack by an oozing corpus. 
08:50:38 You were healed by Luszckyn for 2092 hitpoints.
08:50:38 You lose 710 hitpoints due to an attack by an oozing corpus. 
08:50:38 You healed yourself for 1121 hitpoints.
08:50:39 You lose 658 hitpoints due to an attack by a bloated man-maggot. 
08:50:39 You lose 826 hitpoints due to an attack by a mycobiontic beetle. 
08:50:39 You were healed by Luszckyn for 2231 hitpoints.
08:50:39 You healed yourself for 1129 hitpoints.
08:50:40 Using one of 1422 great mana potions...
08:50:40 You gained 230 mana.
08:50:40 You were healed by Luszckyn for 1614 hitpoints.
08:50:40 You healed yourself for 1050 hitpoints.
08:50:42 You already exhausted this reservoir.
08:50:43 The rot has permeated the very roots of your body and hardened your core... you are ready.
08:50:44 Using one of 1421 great mana potions...
08:50:44 You lose 983 hitpoints due to an attack by a sopping corpus. 
08:50:44 You gained 173 mana.
08:50:45 You healed yourself for 977 hitpoints.
08:50:45 Using one of 1420 great mana potions...
08:50:45 You gained 199 mana.
08:50:45 You lose 295 hitpoints due to an attack by a bloated man-maggot. 
08:50:45 You lose 837 hitpoints due to an attack by an oozing corpus. 
08:50:45 You lose 480 hitpoints due to an attack by an oozing corpus. 
08:50:46 You healed yourself for 1359 hitpoints.
08:50:46 Using one of 1419 great mana potions...
08:50:46 You gained 166 mana.
08:50:47 You lose 740 hitpoints due to an attack by a mycobiontic beetle. 
08:50:47 You healed yourself for 993 hitpoints.
08:50:47 You lose 882 hitpoints due to an attack by a sopping corpus. 
08:50:47 Using one of 1418 great mana potions...
08:50:47 You gained 180 mana.
08:50:47 You lose 575 hitpoints due to an attack by a sopping corpus. 
08:50:47 You lose 819 hitpoints due to an attack by a mycobiontic beetle. 
08:50:48 You healed yourself for 1110 hitpoints.
08:50:48 You lose 862 hitpoints due to an attack by a sopping corpus. 
08:50:48 You lose 930 hitpoints due to an attack by a bloated man-maggot. 
08:50:48 You lose 1108 hitpoints due to an attack by a sopping corpus. 
08:50:48 You lose 872 hitpoints due to an attack by a sopping corpus. 
08:50:48 Using one of 1417 great mana potions...
08:50:48 You lose 375 hitpoints due to an attack by a sopping corpus. 
08:50:48 You gained 194 mana.
08:50:48 You lose 830 hitpoints due to an attack by a mycobiontic beetle. 
08:50:48 You lose 624 hitpoints due to an attack by a mycobiontic beetle. 
08:50:49 You healed yourself for 1449 hitpoints.
08:50:49 You were healed by Luszckyn for 1842 hitpoints.
08:50:50 Using one of 1416 great mana potions...
08:50:50 You gained 224 mana.
08:50:50 You healed yourself for 1125 hitpoints.
08:50:50 You were healed by Luszckyn for 2136 hitpoints.
08:50:51 Using one of 1415 great mana potions...
08:50:51 You gained 200 mana.
08:50:52 You were healed by Luszckyn for 203 hitpoints.
